Chromosome,start,end,Name,colour,source,phenotype,population
chr1,13352962,13375172,TPPD,acen,branching,RBN,1
chr1,27649673,27673253,PIN1,acen,branching,RBN,1
chr1,28960714,28984805,PIN6,acen,branching,RBN,1
chr1,26732940,26756469,PIN3,acen,branching,RBN,1
chr2,14104281,14125969,IAA13,acen,branching,RBN,1
chr3,23414157,23436536,CKX6,acen,branching,RBN,1
chr2,11130809,11153360,MAX1,acen,branching,RBN,1
chr2,17746069,17768468,MAX2,acen,branching,RBN,1
chr2,18548885,18571621,MAX3,acen,branching,RBN,1
chr4,15818228,15841492,MAX4,acen,branching,RBN,1
chr1,700018,721857,D27,acen,branching,RBN,1
chr3,7531384,7553560,LBO,acen,branching,RBN,1
chr1,29542340,29569811,TPS1,acen,branching,RBN,1
chr5,20890859,20914647,TPPA,acen,branching,RBN,1
chr1,29363803,29386639,TPPB,acen,branching,RBN,1
chr2,9423616,9446658,TPPE,acen,branching,RBN,1
chr4,7355257,7378730,TPPF,acen,branching,RBN,1
chr4,11883499,11906480,TPPG,acen,branching,RBN,1
chr5,26009457,26032380,TPPJ,acen,branching,RBN,1
chr4,12478040,12501298,TRE1,acen,branching,RBN,1
chr3,1023579,1045237,D14,acen,branching,RBN,1
chr2,12766208,12790069,SMXL7,acen,branching,RBN,1
chr2,16755920,16779268,SMXL8,acen,branching,RBN,1
chr5,20041829,20062735,bZIP1,acen,branching,RBN,1
chr2,7888012,7909242,bZIP2,acen,branching,RBN,1
chr5,5158194,5179365,bZIP3,acen,branching,RBN,1
chr4,16511861,16533230,bZIP11,acen,branching,RBN,1
chr1,28281698,28303008,bZIP44,acen,branching,RBN,1
chr3,21181,44487,SNRK1,acen,branching,RBN,1
chr3,17548793,17571259,TCP14,acen,branching,RBN,1
chr3,6373289,6395815,BRC1,acen,branching,RBN,1
chr3,22119505,22140472,ARGOS,acen,branching,RBN,1
chr2,19449045,19474087,CKI1,acen,branching,RBN,1
chr5,24834248,24856989,LFY,acen,branching,RBN,1
chr5,1014500,1035872,TFL1,acen,branching,RBN,1
chr5,3163382,3189448,FLC,acen,branching,RBN,1
chr1,24321373,24343999,FT,acen,branching,RBN,1
chr1,2198477,2222718,SMXL6,acen,branching,RBN,1
chr4,17606659,17628656,KAI2,acen,branching,RBN,1
chr1,13352962,13375172,TPPD,acen,branching,CL,1
chr1,27649673,27673253,PIN1,acen,branching,CL,1
chr1,28960714,28984805,PIN6,acen,branching,CL,1
chr1,26732940,26756469,PIN3,acen,branching,CL,1
chr2,14104281,14125969,IAA13,acen,branching,CL,1
chr3,23414157,23436536,CKX6,acen,branching,CL,1
chr2,11130809,11153360,MAX1,acen,branching,CL,1
chr2,17746069,17768468,MAX2,acen,branching,CL,1
chr2,18548885,18571621,MAX3,acen,branching,CL,1
chr4,15818228,15841492,MAX4,acen,branching,CL,1
chr1,700018,721857,D27,acen,branching,CL,1
chr3,7531384,7553560,LBO,acen,branching,CL,1
chr1,29542340,29569811,TPS1,acen,branching,CL,1
chr5,20890859,20914647,TPPA,acen,branching,CL,1
chr1,29363803,29386639,TPPB,acen,branching,CL,1
chr2,9423616,9446658,TPPE,acen,branching,CL,1
chr4,7355257,7378730,TPPF,acen,branching,CL,1
chr4,11883499,11906480,TPPG,acen,branching,CL,1
chr5,26009457,26032380,TPPJ,acen,branching,CL,1
chr4,12478040,12501298,TRE1,acen,branching,CL,1
chr3,1023579,1045237,D14,acen,branching,CL,1
chr2,12766208,12790069,SMXL7,acen,branching,CL,1
chr2,16755920,16779268,SMXL8,acen,branching,CL,1
chr5,20041829,20062735,bZIP1,acen,branching,CL,1
chr2,7888012,7909242,bZIP2,acen,branching,CL,1
chr5,5158194,5179365,bZIP3,acen,branching,CL,1
chr4,16511861,16533230,bZIP11,acen,branching,CL,1
chr1,28281698,28303008,bZIP44,acen,branching,CL,1
chr3,21181,44487,SNRK1,acen,branching,CL,1
chr3,17548793,17571259,TCP14,acen,branching,CL,1
chr3,6373289,6395815,BRC1,acen,branching,CL,1
chr3,22119505,22140472,ARGOS,acen,branching,CL,1
chr2,19449045,19474087,CKI1,acen,branching,CL,1
chr5,24834248,24856989,LFY,acen,branching,CL,1
chr5,1014500,1035872,TFL1,acen,branching,CL,1
chr5,3163382,3189448,FLC,acen,branching,CL,1
chr1,24321373,24343999,FT,acen,branching,CL,1
chr1,2198477,2222718,SMXL6,acen,branching,CL,1
chr4,17606659,17628656,KAI2,acen,branching,CL,1
chr1,13352962,13375172,TPPD,acen,branching,RL,1
chr1,27649673,27673253,PIN1,acen,branching,RL,1
chr1,28960714,28984805,PIN6,acen,branching,RL,1
chr1,26732940,26756469,PIN3,acen,branching,RL,1
chr2,14104281,14125969,IAA13,acen,branching,RL,1
chr3,23414157,23436536,CKX6,acen,branching,RL,1
chr2,11130809,11153360,MAX1,acen,branching,RL,1
chr2,17746069,17768468,MAX2,acen,branching,RL,1
chr2,18548885,18571621,MAX3,acen,branching,RL,1
chr4,15818228,15841492,MAX4,acen,branching,RL,1
chr1,700018,721857,D27,acen,branching,RL,1
chr3,7531384,7553560,LBO,acen,branching,RL,1
chr1,29542340,29569811,TPS1,acen,branching,RL,1
chr5,20890859,20914647,TPPA,acen,branching,RL,1
chr1,29363803,29386639,TPPB,acen,branching,RL,1
chr2,9423616,9446658,TPPE,acen,branching,RL,1
chr4,7355257,7378730,TPPF,acen,branching,RL,1
chr4,11883499,11906480,TPPG,acen,branching,RL,1
chr5,26009457,26032380,TPPJ,acen,branching,RL,1
chr4,12478040,12501298,TRE1,acen,branching,RL,1
chr3,1023579,1045237,D14,acen,branching,RL,1
chr2,12766208,12790069,SMXL7,acen,branching,RL,1
chr2,16755920,16779268,SMXL8,acen,branching,RL,1
